img_name,mean,std
10N_1286_2921_13-2018-12-21,"[75.24521541595459, 167.57553577423096, 129.9742136001587, 1848.7562656402588]","[71.9804470844258, 109.19172357727948, 161.49286011588762, 785.4338784423608]"
10N_1286_2921_13-2018-12-28,"[86.19337463378906, 196.8284788131714, 152.79931926727295, 1955.130443572998]","[70.67504234604336, 108.16488405961977, 158.6797564652765, 773.3358962495687]"
10N_1286_2921_13-2019-01-01,"[87.21434593200684, 204.2132453918457, 154.70030307769775, 1995.5514373779297]","[70.71421151450619, 109.6041023121741, 156.3215670138788, 766.7167415163769]"
10N_1286_2921_13-2019-01-07,"[83.98586368560791, 206.2993688583374, 159.7921257019043, 2038.8341722488403]","[71.7287078623497, 107.8492243123106, 158.9440787937241, 735.4958892803169]"
10N_1286_2921_13-2019-01-14,"[83.37939357757568, 221.68781089782715, 169.06393814086914, 2099.770256996155]","[75.82423274559673, 116.87195516138426, 167.5819854372237, 731.3376737827011]"
10N_1286_2921_13-2019-01-21,"[103.24536895751953, 241.26931381225586, 192.82831573486328, 2121.9673614501953]","[82.97204139351493, 117.9382240619141, 171.47235137764773, 686.0380919664295]"
10N_1286_2921_13-2019-01-28,"[86.10301876068115, 222.843523979187, 170.4265661239624, 2116.296932220459]","[66.6096853479732, 103.34055307452155, 148.44973956759506, 681.745225392617]"
10N_1286_2921_13-2019-02-01,"[110.84629249572754, 247.35672760009766, 195.6168394088745, 2134.3248348236084]","[85.79039418187612, 121.70916068542645, 165.78576626800435, 687.1270461477645]"
10N_1286_2921_13-2019-02-07,"[268.3729591369629, 404.72448348999023, 351.70250034332275, 2304.3141021728516]","[277.59698313465873, 315.69352185535905, 340.6758098058335, 613.2368197319809]"
10N_1286_2921_13-2019-02-14,"[602.5206775665283, 731.0255060195923, 667.3253688812256, 2554.0914192199707]","[670.3853762331798, 691.114788625661, 705.3790807601546, 677.7110119679623]"
10N_1286_2921_13-2019-02-21,"[734.2263460159302, 882.0640544891357, 797.8771324157715, 2683.323094367981]","[870.0642743855711, 930.8253551391376, 890.4738724885932, 718.6722868449873]"
10N_1286_2921_13-2019-02-28,"[805.6418342590332, 994.1168031692505, 886.0332546234131, 2792.6667671203613]","[1003.249493549067, 1128.856135820698, 1042.0151846837343, 814.54374336733]"
10N_1286_2921_13-2019-03-01,"[829.9232196807861, 1022.9440059661865, 917.9718952178955, 2817.5049152374268]","[1036.546489425823, 1164.7629447893858, 1084.2870800958704, 824.8265793106893]"
10N_1286_2921_13-2019-03-07,"[902.1366367340088, 1085.619255065918, 973.8074388504028, 2865.1892518997192]","[1140.4123468684288, 1216.580281084481, 1137.129595610233, 789.9835084780714]"
10N_1286_2921_13-2019-03-14,"[688.9267377853394, 796.3530187606812, 700.3766469955444, 2563.367338180542]","[906.2939600675194, 892.0841961301288, 823.7081885560912, 663.1758149389584]"
10N_1286_2921_13-2019-03-21,"[568.3995332717896, 678.5739097595215, 594.1415004730225, 2484.7917699813843]","[710.4896998199986, 684.6009512468662, 661.0862021736477, 536.993356435424]"
10N_1286_2921_13-2019-03-28,"[356.2769136428833, 490.71630668640137, 431.5253953933716, 2406.3966388702393]","[380.31631918798286, 389.0529723035558, 412.1862147379842, 476.4352074385062]"
10N_1286_2921_13-2019-04-01,"[246.63765811920166, 391.5080671310425, 347.4120225906372, 2331.3384342193604]","[237.33710707958554, 240.89300582205092, 281.7915988869137, 428.72111308985546]"
10N_1286_2921_13-2019-04-07,"[99.76140785217285, 285.1521406173706, 230.7353811264038, 2342.5090341567993]","[70.30930170229274, 118.55783338861471, 158.1830790444371, 393.09103536291764]"
10N_1286_2921_13-2019-04-14,"[184.37756061553955, 342.080530166626, 296.03461933135986, 2352.9111042022705]","[92.8887700177173, 98.11893965294597, 182.57924503029213, 355.27779647146804]"
10N_1286_2921_13-2019-04-21,"[194.760910987854, 359.96895122528076, 308.01378631591797, 2384.92413520813]","[119.3815039841844, 125.40575212881264, 216.49459905848565, 369.5303633748434]"
10N_1286_2921_13-2019-04-28,"[179.56347179412842, 353.06903553009033, 300.6561269760132, 2439.2784881591797]","[120.68314086862564, 132.60861015467665, 220.95447536643482, 403.48926560518606]"
10N_1286_2921_13-2019-05-01,"[186.58318710327148, 370.32417488098145, 311.8289861679077, 2493.3095598220825]","[122.86300104549369, 137.34729965128017, 226.19281345909096, 432.3003094639736]"
10N_1286_2921_13-2019-05-07,"[173.74124145507812, 348.93399143218994, 292.41064643859863, 2550.0560512542725]","[115.38703612477849, 130.315070748408, 220.4117254165978, 429.2261848104559]"
10N_1286_2921_13-2019-05-14,"[178.05616760253906, 380.48967933654785, 304.15874099731445, 2742.8684482574463]","[103.93829349966343, 123.76242069491799, 216.1764232276828, 460.5751713539099]"
10N_1286_2921_13-2019-05-21,"[157.77637767791748, 364.1610155105591, 274.0246629714966, 2712.9123163223267]","[84.76571726102844, 109.3698054431591, 194.9030739959965, 456.7398969570612]"
10N_1286_2921_13-2019-05-28,"[160.7820224761963, 387.7809810638428, 266.51085090637207, 2853.1629495620728]","[87.16313549456883, 113.3549809832117, 190.89945067975188, 491.56966914631505]"
10N_1286_2921_13-2019-06-01,"[162.4656801223755, 405.10572052001953, 267.1890459060669, 2926.868022918701]","[97.3814542094622, 119.735573483954, 193.76075718856544, 525.5195499743094]"
10N_1286_2921_13-2019-06-07,"[167.7353925704956, 431.7111301422119, 268.7153310775757, 3071.9594316482544]","[109.1776552735572, 120.03625681531325, 194.88652205200916, 503.6089569449508]"
10N_1286_2921_13-2019-06-14,"[197.05289840698242, 463.28415870666504, 292.1510305404663, 3163.118989944458]","[101.91359640384039, 104.01853388691133, 202.5370739159869, 586.7860067293291]"
10N_1286_2921_13-2019-06-21,"[221.9227476119995, 499.4495801925659, 324.392071723938, 3215.752019882202]","[101.69048129658103, 111.19886935381034, 214.33178161774313, 601.2515466782961]"
10N_1286_2921_13-2019-06-28,"[209.26678466796875, 478.9457359313965, 297.2522392272949, 3238.579493522644]","[111.93824566152338, 111.44077414047298, 193.45178878526642, 555.6713341048344]"
10N_1286_2921_13-2019-07-01,"[202.75478553771973, 469.84634017944336, 290.2513265609741, 3228.3507328033447]","[111.83756061400192, 112.93374890055996, 190.80068016404556, 549.927089235816]"
10N_1286_2921_13-2019-07-07,"[186.57017993927002, 440.94416904449463, 276.0803232192993, 3242.144326210022]","[108.63059931998939, 115.10814894858214, 195.296878290734, 597.4065434641111]"
10N_1286_2921_13-2019-07-14,"[172.25324058532715, 419.6908321380615, 261.3053560256958, 3246.4019927978516]","[108.0025409822916, 117.18280023171702, 192.20966500186435, 637.3651957845415]"
10N_1286_2921_13-2019-07-21,"[179.28537845611572, 411.52610874176025, 262.17832374572754, 3152.004934310913]","[106.81874600163384, 114.69537063417766, 185.00695618092595, 592.1755043722952]"
10N_1286_2921_13-2019-07-28,"[160.39297485351562, 380.3314800262451, 242.72631645202637, 3063.2252464294434]","[101.82015220220265, 112.10469543902563, 184.71287434820752, 594.0743810144837]"
10N_1286_2921_13-2019-08-01,"[155.63650226593018, 370.4869136810303, 234.6549768447876, 3027.2063121795654]","[103.98731748581723, 117.25290164093903, 191.87776139223203, 587.2938200333842]"
10N_1286_2921_13-2019-08-07,"[159.68624877929688, 353.67352867126465, 228.14641761779785, 2985.470103263855]","[96.98893334663254, 111.71557928991038, 185.4671778380152, 584.7057543734564]"
10N_1286_2921_13-2019-08-14,"[119.24130439758301, 299.956485748291, 178.20813941955566, 2901.099750518799]","[77.57986624470833, 100.69078658406622, 159.8220761266384, 578.7588578013861]"
10N_1286_2921_13-2019-08-21,"[136.95707893371582, 312.7351493835449, 192.98993301391602, 2861.236699104309]","[83.35142467619045, 101.4780351838804, 163.213230787585, 531.9187518735323]"
10N_1286_2921_13-2019-08-28,"[130.3140459060669, 302.0535659790039, 190.59932327270508, 2727.665533065796]","[90.93171825247238, 106.85555704089728, 167.11960884043856, 552.6747976340637]"
10N_1286_2921_13-2019-09-01,"[131.81557083129883, 298.4386730194092, 190.00400733947754, 2698.522548675537]","[93.51074475045726, 108.37741560617475, 166.85661531582963, 553.0502160476873]"
10N_1286_2921_13-2019-09-07,"[124.58683204650879, 287.5751094818115, 189.49800395965576, 2607.6431608200073]","[87.4135463640636, 108.35370113654297, 162.171399660818, 543.5335151051096]"
10N_1286_2921_13-2019-09-14,"[114.22732734680176, 269.2647876739502, 181.96130466461182, 2489.2095737457275]","[81.9842712039939, 104.73120787902404, 155.8538046055086, 536.7062501559153]"
10N_1286_2921_13-2019-09-21,"[96.01450252532959, 243.12315559387207, 161.92449474334717, 2404.5429248809814]","[71.81937158747405, 90.59459990863208, 138.92341036111873, 538.0414869751402]"
10N_1286_2921_13-2019-09-28,"[90.38268280029297, 234.7663106918335, 159.82882976531982, 2364.606625556946]","[72.41390990277809, 90.02095618271271, 143.5313360794458, 591.3802093849946]"
10N_1286_2921_13-2019-10-01,"[91.55240249633789, 238.9550428390503, 164.66693115234375, 2371.0363273620605]","[77.6276226036051, 98.35173403086635, 153.23001442000773, 664.0232127152391]"
10N_1286_2921_13-2019-10-07,"[97.67555904388428, 246.2924461364746, 170.5751028060913, 2363.457055091858]","[95.07371623296866, 116.15678307037057, 170.20728001736245, 705.2703291402466]"
10N_1286_2921_13-2019-10-14,"[97.936936378479, 238.19361686706543, 178.11249256134033, 2258.581425666809]","[98.72574043600922, 122.90741093314551, 184.01621857387929, 742.6234826670054]"
10N_1286_2921_13-2019-10-21,"[98.42917823791504, 233.87859439849854, 176.43793106079102, 2231.193977355957]","[95.49702291508997, 118.74391931205304, 175.88440166335164, 706.846647206972]"
10N_1286_2921_13-2019-10-28,"[91.95619106292725, 224.70544815063477, 176.41460037231445, 2182.015781402588]","[91.21397674685052, 113.91248812749524, 177.52839498706103, 715.1462332171586]"
10N_1286_2921_13-2019-11-01,"[94.12945175170898, 225.8013038635254, 180.94351768493652, 2131.5063648223877]","[88.67033849368288, 112.51256602173721, 173.93656882422596, 699.7480271428617]"
10N_1286_2921_13-2019-11-07,"[82.94096851348877, 206.56714153289795, 162.08863735198975, 2166.6818313598633]","[58.980260513072636, 80.96473232791281, 135.68481537814537, 632.6297916451024]"
10N_1286_2921_13-2019-11-14,"[81.8894624710083, 200.63332080841064, 155.52585220336914, 2118.0807723999023]","[44.34946503135535, 62.041917644851814, 114.27969046850907, 655.8453343201111]"
10N_1286_2921_13-2019-11-21,"[87.92239189147949, 206.27532482147217, 153.44643020629883, 2149.247525215149]","[68.48478889319263, 86.63849041082959, 130.4012077480302, 643.9455766176554]"
10N_1286_2921_13-2019-11-28,"[81.80207252502441, 191.50690746307373, 135.65814876556396, 2137.038511276245]","[59.9469972449922, 76.54406278353828, 108.07547738140387, 636.9046921108726]"
10N_1286_2921_13-2019-12-01,"[79.84322261810303, 187.6185827255249, 133.37101554870605, 2129.845826148987]","[56.66605577986927, 72.99900100669925, 103.39689277490797, 633.2474915723916]"
10N_1286_2921_13-2019-12-07,"[76.1753511428833, 176.99380779266357, 136.31776428222656, 2068.7531385421753]","[41.41094791303789, 55.410742191234725, 78.96369510886447, 608.1556569511423]"
10N_1286_2921_13-2019-12-14,"[76.28373527526855, 177.538254737854, 129.07987117767334, 2127.1568870544434]","[55.86040975099064, 69.49315684739962, 100.75906194871986, 633.4945943753997]"
10N_1286_2921_13-2019-12-21,"[75.5914363861084, 177.3639612197876, 127.44369888305664, 2135.476773262024]","[56.83654649975575, 71.87919503932062, 105.1274690653672, 643.0275840866587]"
10N_1286_2921_13-2019-12-28,"[75.08439445495605, 176.35196208953857, 127.24878311157227, 2130.290987968445]","[55.22271185467105, 70.06076245172633, 104.02583492986008, 640.9218999070856]"
10N_1330_3107_13-2018-01-01,"[308.43323516845703, 457.1561698913574, 514.047646522522, 1961.6210889816284]","[140.36006430871907, 172.51294048876758, 266.37638089630207, 502.47732110654]"
10N_1330_3107_13-2018-01-07,"[304.40480613708496, 442.97257232666016, 487.7986812591553, 1926.9485397338867]","[135.5871986409691, 162.93631650359535, 247.22429560015317, 509.53786046807693]"
10N_1330_3107_13-2018-01-14,"[183.18260097503662, 356.42670345306396, 326.994197845459, 1919.3495025634766]","[53.84159197793854, 88.92533394897099, 115.86430369886872, 430.34952031023874]"
10N_1330_3107_13-2018-01-21,"[193.4560832977295, 357.06213569641113, 381.0286626815796, 1889.6984481811523]","[61.79814338885782, 94.47101108829887, 142.8956074293253, 412.9328916506051]"
10N_1330_3107_13-2018-01-28,"[212.9924840927124, 370.8251943588257, 411.1915922164917, 1803.9946565628052]","[85.25762049473238, 118.52515030867417, 180.16544325417516, 403.81580562571224]"
10N_1330_3107_13-2018-02-01,"[236.94063568115234, 396.4031810760498, 439.99611473083496, 1809.4466886520386]","[87.22234655358415, 116.90419959702109, 176.88575407885062, 388.86459382012555]"
10N_1330_3107_13-2018-02-07,"[279.3807601928711, 424.5155191421509, 481.54603099823, 1845.3409051895142]","[120.10220398960409, 146.120902192315, 221.18498336386853, 413.69147923436594]"
10N_1330_3107_13-2018-02-14,"[317.5811185836792, 450.912148475647, 500.74706745147705, 1858.6765174865723]","[148.9103793077337, 169.5487127838653, 244.42851319708643, 410.3818971471167]"
10N_1330_3107_13-2018-02-21,"[331.8347749710083, 477.248010635376, 547.6844244003296, 1874.252236366272]","[147.70888775949192, 172.20743677396837, 254.95119731016734, 389.5477896978796]"
10N_1330_3107_13-2018-02-28,"[316.38068771362305, 480.9159240722656, 539.332911491394, 1913.9717245101929]","[140.88118955416513, 166.77542376225304, 246.1848720638981, 365.85799263993454]"
10N_1330_3107_13-2018-03-01,"[310.3069124221802, 477.0931787490845, 533.035231590271, 1919.6543436050415]","[135.50338932365273, 161.84873842747137, 238.94631841041902, 357.61440421254406]"
10N_1330_3107_13-2018-03-07,"[288.95223236083984, 463.82351303100586, 517.9867753982544, 1950.2197980880737]","[113.89263034777197, 142.19892047105313, 210.42394328173134, 327.25933570897735]"
10N_1330_3107_13-2018-03-14,"[297.1246395111084, 475.5923318862915, 526.4532423019409, 1976.7417392730713]","[112.2655005865979, 137.40996519840687, 202.77317231616303, 310.3684895377565]"
10N_1330_3107_13-2018-03-21,"[309.2156276702881, 487.44479274749756, 528.1763315200806, 1973.3255186080933]","[117.83829566859508, 137.5661688340334, 197.73843776749132, 304.41936732192903]"
10N_1330_3107_13-2018-03-28,"[315.5644645690918, 515.3855781555176, 564.8601188659668, 2038.9736261367798]","[106.31962963623234, 131.71959573482684, 196.20991126776397, 297.99821843125306]"
10N_1330_3107_13-2018-04-01,"[342.4852657318115, 555.2607927322388, 599.5391645431519, 2139.876326560974]","[108.12574413398761, 136.15131542187692, 210.8413817458109, 310.6812122791575]"
10N_1330_3107_13-2018-04-07,"[342.08186435699463, 563.5394229888916, 589.8032741546631, 2221.96546459198]","[105.56079098228479, 132.1282621442275, 210.98520537798098, 307.6589143611439]"
10N_1330_3107_13-2018-04-14,"[315.93270206451416, 525.6988897323608, 535.3515214920044, 2272.5846643447876]","[104.28920438634822, 124.73941260133104, 198.10267852586216, 311.528527659962]"
10N_1330_3107_13-2018-04-21,"[303.7806634902954, 527.8292169570923, 494.14563941955566, 2391.869390487671]","[102.78851297140706, 120.14608307859432, 183.8242696668503, 346.15537053846333]"
10N_1330_3107_13-2018-04-28,"[240.99488925933838, 492.03736209869385, 406.54126167297363, 2612.53311252594]","[87.72282890842138, 116.28690720816832, 165.1525447167011, 413.86093142270767]"
10N_1330_3107_13-2018-05-01,"[189.34780025482178, 453.6992177963257, 356.9187831878662, 2630.8272466659546]","[69.45038657514105, 107.95061126754321, 147.11280595718208, 428.7184218025493]"
10N_1330_3107_13-2018-05-07,"[318.67862701416016, 561.4978876113892, 482.38859844207764, 2851.2646198272705]","[121.20504548916385, 138.49552131228683, 208.4398775502138, 502.31380636943396]"
10N_1330_3107_13-2018-05-14,"[295.8688316345215, 547.2808513641357, 470.68407917022705, 2945.5669593811035]","[119.96102489731543, 141.33809038718, 220.05930152233765, 528.6465331555405]"
10N_1330_3107_13-2018-05-21,"[295.7352819442749, 558.5276508331299, 497.2529306411743, 3030.049327850342]","[110.65781443219073, 134.97480512080242, 223.54965860194034, 568.3939226309551]"
10N_1330_3107_13-2018-05-28,"[321.37969875335693, 574.7151412963867, 507.8499917984009, 3054.069492340088]","[119.55819129099336, 137.43046365100193, 227.56851974831437, 596.2112905722446]"
10N_1330_3107_13-2018-06-01,"[313.3379011154175, 557.3458080291748, 482.5448741912842, 3035.5050106048584]","[116.75129612224146, 131.80460468930656, 217.67947567964623, 602.9124983216648]"
10N_1330_3107_13-2018-06-07,"[288.7397747039795, 538.5664548873901, 473.0297908782959, 3029.783519744873]","[85.72803251167765, 104.83699466061864, 188.92263830235666, 578.2408581020933]"
10N_1330_3107_13-2018-06-14,"[287.594388961792, 545.721019744873, 478.2652711868286, 3027.801622390747]","[97.32078359181659, 117.52092699146573, 208.9328146410311, 576.1448294621354]"
